ticker,regime,boot_id,n,AIC_Normal,BIC_Normal,logL_Normal,AIC_StudentT,BIC_StudentT,logL_StudentT,nu_hat,AIC_PearsonVII,BIC_PearsonVII,logL_PearsonVII,m_hat,scale_hat,Best_AIC
HPQ,Low,5,2105,5926.469920240466,5926.469920240466,-2963.234960120233,5842.376209222082,5848.028279968199,-2920.188104611041,11.72838778663188,5709.21377112226,5720.517912614493,-2852.60688556113,2.7094331338769977,1.556030003857259,PearsonVII
HPQ,Medium,1,1936,5446.055902203244,5446.055902203244,-2723.027951101622,5343.227098967256,5348.795478235093,-2670.613549483628,11.206939490103021,5195.080853126553,5206.217611662226,-2595.5404265632765,2.5281782117802507,1.4374117709972591,PearsonVII
HPQ,Medium,2,1936,5388.5345359599605,5388.5345359599605,-2694.2672679799803,5303.559705009142,5309.128084276978,-2650.779852504571,11.744012191665343,5133.643653203779,5144.780411739452,-2564.8218266018894,2.422772369207049,1.357344378186297,PearsonVII
HPQ,Medium,3,1936,5417.226167479221,5417.226167479221,-2708.6130837396104,5361.786742422815,5367.355121690652,-2679.8933712114076,13.51920436974292,5248.631557035183,5259.7683155708555,-2622.3157785175913,2.686987882351175,1.543193475058863,PearsonVII
HPQ,Medium,4,1936,5363.088204747177,5363.088204747177,-2681.5441023735884,5328.956602810584,5334.52498207842,-2663.478301405292,15.752139674115728,5208.529785485371,5219.666544021044,-2602.2648927426853,2.5685748327462,1.4643720307638874,PearsonVII
HPQ,Medium,5,1936,5408.598925126448,5408.598925126448,-2704.299462563224,5360.044023284305,5365.612402552141,-2679.0220116421524,14.149417998233547,5250.268042087537,5261.40480062321,-2623.1340210437684,2.688236792731698,1.5445189882675332,PearsonVII
HPQ,High,1,1619,4530.928073916155,4530.928073916155,-2265.4640369580775,4446.710850737855,4452.100414691533,-2222.3554253689276,10.759382377208352,4300.704020209772,4311.483148117128,-2148.352010104886,2.4531295177306056,1.377047536297513,PearsonVII
HPQ,High,2,1619,4530.125160710146,4530.125160710146,-2265.062580355073,4483.008340194989,4488.397904148666,-2240.5041700974944,12.79469253021928,4380.496522860328,4391.275650767683,-2188.248261430164,2.6551010382087927,1.5218565568825375,PearsonVII
HPQ,High,3,1619,4537.302624005239,4537.302624005239,-2268.6513120026193,4458.367773004361,4463.757336958039,-2228.1838865021805,11.066848138393064,4325.340396195179,4336.119524102534,-2160.6701980975895,2.5083789084856094,1.4179145641997564,PearsonVII
HPQ,High,4,1619,4539.395037448057,4539.395037448057,-2269.6975187240287,4490.568755768709,4495.9583197223865,-2244.2843778843544,13.20284996788613,4399.8945938423285,4410.673721749684,-2197.9472969211643,2.7828761335591476,1.5981090655964383,PearsonVII
HPQ,High,5,1619,4514.982565409928,4514.982565409928,-2257.491282704964,4474.603025642326,4479.992589596004,-2236.301512821163,13.84528995185582,4377.357680458334,4388.136808365689,-2186.678840229167,2.701507286833992,1.5448594217468474,PearsonVII
IBM,Low,1,2103,5919.220887515127,5919.220887515127,-2959.6104437575636,5862.973345638415,5868.624465814118,-2930.4866728192073,13.84036977184668,5767.496411551187,5778.798651902592,-2881.7482057755933,2.970109438165728,1.7141118267269937,PearsonVII
IBM,Low,2,2103,5929.015957861677,5929.015957861677,-2964.5079789308384,5822.026575060951,5827.677695236654,-2910.0132875304753,11.08704280029187,5673.220588140009,5684.522828491414,-2834.6102940700043,2.62609848548895,1.500808924274067,PearsonVII
IBM,Low,3,2103,5922.048169349133,5922.048169349133,-2961.0240846745664,5754.462208580788,5760.113328756491,-2876.231104290394,9.377393282047729,5520.768074487674,5532.070314839079,-2758.384037243837,2.329828845475558,1.2880451927620873,PearsonVII
IBM,Low,4,2103,5894.902883975823,5894.902883975823,-2947.4514419879115,5794.136021160284,5799.787141335987,-2896.068010580142,11.216274948998674,5625.344559889283,5636.646800240688,-2810.6722799446416,2.5066536572149105,1.4197181056778645,PearsonVII
IBM,Low,5,2103,5959.6285262878555,5959.6285262878555,-2979.8142631439277,5846.952876193202,5852.603996368905,-2922.476438096601,11.154208652245384,5717.73180973351,5729.034050084915,-2856.865904866755,2.773508676803621,1.59466345680992,PearsonVII
IBM,Medium,1,2067,5840.210625679956,5840.210625679956,-2920.105312839978,5779.795002354902,5785.428855914583,-2888.897501177451,13.477581038395286,5694.84523086097,5706.112937980334,-2845.422615430485,3.139538771557597,1.8082392501365048,PearsonVII
IBM,Medium,2,2067,5869.549437175228,5869.549437175228,-2934.774718587614,5715.844163196143,5721.478016755825,-2856.9220815980716,9.857137754700306,5543.542499456247,5554.810206575611,-2769.7712497281236,2.526515046006265,1.4355335157061377,PearsonVII
IBM,Medium,3,2067,5895.381929253901,5895.381929253901,-2947.6909646269505,5754.845261107833,5760.479114667514,-2876.4226305539164,10.257241323924537,5617.766276670518,5629.033983789882,-2806.883138335259,2.7058050151603954,1.5584676662247556,PearsonVII
